company_id,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern
ICICIGI,+,-,-,Growth/Dividend Payer
ICICIGI,+,+,-,Cash Accumulator/Asset Liquidation
ICICIGI,+,-,-,Growth/Dividend Payer
ICICIGI,+,-,-,Growth/Dividend Payer
ICICIGI,?,?,?,Unknown/Transition
ICICIPRULI,-,+,-,Unknown/Transition
ICICIPRULI,-,+,-,Unknown/Transition
ICICIPRULI,+,-,-,Growth/Dividend Payer
ICICIPRULI,+,+,-,Cash Accumulator/Asset Liquidation
ICICIPRULI,+,-,-,Growth/Dividend Payer
ICICIPRULI,+,-,-,Growth/Dividend Payer
ICICIPRULI,+,-,-,Growth/Dividend Payer
ICICIPRULI,+,-,-,Growth/Dividend Payer
ICICIPRULI,+,-,+,Leveraged Grower
ICICIPRULI,+,-,-,Growth/Dividend Payer
ICICIPRULI,+,-,-,Growth/Dividend Payer
ICICIPRULI,-,+,-,Unknown/Transition
ICICIPRULI,?,?,?,Unknown/Transition
INDIGO,+,-,+,Leveraged Grower
INDIGO,+,-,+,Leveraged Grower
INDIGO,+,-,-,Growth/Dividend Payer
INDIGO,+,-,-,Growth/Dividend Payer
INDIGO,+,-,-,Growth/Dividend Payer
INDIGO,+,-,+,Leveraged Grower
INDIGO,+,-,-,Growth/Dividend Payer
INDIGO,+,-,-,Growth/Dividend Payer
INDIGO,-,+,-,Unknown/Transition
INDIGO,+,+,-,Cash Accumulator/Asset Liquidation
INDIGO,+,-,-,Growth/Dividend Payer
INDIGO,+,-,-,Growth/Dividend Payer
INDIGO,?,?,?,Unknown/Transition
INDUSINDBK,-,-,+,Unknown/Transition
INDUSINDBK,-,-,+,Unknown/Transition
INDUSINDBK,-,-,+,Unknown/Transition
INDUSINDBK,-,-,+,Unknown/Transition
INDUSINDBK,+,-,-,Growth/Dividend Payer
INDUSINDBK,-,-,+,Unknown/Transition
INDUSINDBK,-,-,+,Unknown/Transition
INDUSINDBK,-,+,+,Unknown/Transition
INDUSINDBK,+,-,-,Growth/Dividend Payer
INDUSINDBK,+,-,-,Growth/Dividend Payer
INDUSINDBK,-,-,+,Unknown/Transition
INDUSINDBK,-,-,-,Distressed/Funding Dependent
INFY,+,-,-,Growth/Dividend Payer
INFY,+,-,-,Growth/Dividend Payer
INFY,+,+,-,Cash Accumulator/Asset Liquidation
INFY,+,-,-,Growth/Dividend Payer
INFY,+,-,-,Growth/Dividend Payer
INFY,+,+,-,Cash Accumulator/Asset Liquidation
INFY,+,-,-,Growth/Dividend Payer
INFY,+,-,-,Growth/Dividend Payer
INFY,+,-,-,Growth/Dividend Payer
INFY,+,-,-,Growth/Dividend Payer
INFY,+,-,-,Growth/Dividend Payer
INFY,+,-,-,Growth/Dividend Payer
INFY,?,?,?,Unknown/Transition
IOC,+,-,+,Leveraged Grower
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,+,Leveraged Grower
IOC,+,-,+,Leveraged Grower
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,-,Growth/Dividend Payer
IOC,+,-,-,Growth/Dividend Payer
IOC,?,?,?,Unknown/Transition
IRCTC,+,-,-,Growth/Dividend Payer
IRCTC,+,+,-,Cash Accumulator/Asset Liquidation
IRCTC,+,+,-,Cash Accumulator/Asset Liquidation
IRCTC,+,+,-,Cash Accumulator/Asset Liquidation
IRCTC,+,-,-,Growth/Dividend Payer
IRCTC,+,+,-,Cash Accumulator/Asset Liquidation
IRCTC,+,-,-,Growth/Dividend Payer
IRCTC,+,-,-,Growth/Dividend Payer
IRCTC,+,-,-,Growth/Dividend Payer
IRCTC,+,-,-,Growth/Dividend Payer
IRCTC,?,?,?,Unknown/Transition
IRFC,?,?,?,Unknown/Transition
IRFC,?,?,?,Unknown/Transition
IRFC,?,?,?,Unknown/Transition
IRFC,-,+,+,Unknown/Transition
IRFC,-,+,+,Unknown/Transition
IRFC,-,+,+,Unknown/Transition
IRFC,-,+,+,Unknown/Transition
IRFC,-,+,+,Unknown/Transition
IRFC,-,+,+,Unknown/Transition
IRFC,-,-,+,Unknown/Transition
IRFC,-,+,+,Unknown/Transition
IRFC,+,-,-,Growth/Dividend Payer
IRFC,?,?,?,Unknown/Transition
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,+,-,Cash Accumulator/Asset Liquidation
ITC,+,-,-,Growth/Dividend Payer
ITC,+,-,-,Growth/Dividend Payer
ITC,+,+,-,Cash Accumulator/Asset Liquidation
ITC,?,?,?,Unknown/Transition
JINDALSTEL,+,-,+,Leveraged Grower
JINDALSTEL,+,-,+,Leveraged Grower
JINDALSTEL,+,-,+,Leveraged Grower
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,-,Growth/Dividend Payer
JINDALSTEL,+,-,+,Leveraged Grower
JINDALSTEL,?,?,?,Unknown/Transition
JIOFIN,+,-,-,Growth/Dividend Payer
JIOFIN,-,+,-,Unknown/Transition
JIOFIN,?,?,?,Unknown/Transition
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,+,-,Cash Accumulator/Asset Liquidation
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,-,Growth/Dividend Payer
JSWENERGY,+,-,+,Leveraged Grower
JSWENERGY,+,-,+,Leveraged Grower
JSWENERGY,?,?,?,Unknown/Transition
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,+,Leveraged Grower
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,+,Leveraged Grower
JSWSTEEL,+,-,+,Leveraged Grower
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,+,-,-,Growth/Dividend Payer
JSWSTEEL,?,?,?,Unknown/Transition
KOTAKBANK,+,-,+,Leveraged Grower
KOTAKBANK,+,-,-,Growth/Dividend Payer
KOTAKBANK,+,-,+,Leveraged Grower
KOTAKBANK,+,-,+,Leveraged Grower
KOTAKBANK,+,-,+,Leveraged Grower
KOTAKBANK,-,-,+,Unknown/Transition
KOTAKBANK,+,-,+,Leveraged Grower
KOTAKBANK,+,-,-,Growth/Dividend Payer
KOTAKBANK,+,-,-,Growth/Dividend Payer
KOTAKBANK,+,-,+,Leveraged Grower
KOTAKBANK,-,-,+,Unknown/Transition
KOTAKBANK,+,-,+,Leveraged Grower
LICI,+,+,-,Cash Accumulator/Asset Liquidation
LICI,+,-,-,Growth/Dividend Payer
LICI,+,+,-,Cash Accumulator/Asset Liquidation
LICI,-,+,+,Unknown/Transition
LICI,+,-,-,Growth/Dividend Payer
LICI,+,-,-,Growth/Dividend Payer
LICI,?,?,?,Unknown/Transition
LODHA,?,?,?,Unknown/Transition
LODHA,?,?,?,Unknown/Transition
LODHA,?,?,?,Unknown/Transition
LODHA,+,-,+,Leveraged Grower
LODHA,+,-,-,Growth/Dividend Payer
LODHA,+,-,+,Leveraged Grower
LODHA,-,-,+,Unknown/Transition
LODHA,+,+,-,Cash Accumulator/Asset Liquidation
LODHA,+,+,-,Cash Accumulator/Asset Liquidation
LODHA,+,+,-,Cash Accumulator/Asset Liquidation
LODHA,+,+,-,Cash Accumulator/Asset Liquidation
LODHA,+,-,+,Leveraged Grower
LODHA,?,?,?,Unknown/Transition
LT,-,-,+,Unknown/Transition
LT,-,-,+,Unknown/Transition
LT,-,-,+,Unknown/Transition
LT,-,-,+,Unknown/Transition
LT,+,-,+,Leveraged Grower
LT,-,+,+,Unknown/Transition
LT,-,-,+,Unknown/Transition
LT,+,-,+,Leveraged Grower
LT,+,-,-,Growth/Dividend Payer
LT,+,-,-,Growth/Dividend Payer
LT,+,-,-,Growth/Dividend Payer
LT,+,+,-,Cash Accumulator/Asset Liquidation
LT,?,?,?,Unknown/Transition
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,+,-,Cash Accumulator/Asset Liquidation
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,+,-,-,Growth/Dividend Payer
LTIM,?,?,?,Unknown/Transition
M&M,-,-,+,Unknown/Transition
M&M,-,-,+,Unknown/Transition
M&M,+,-,+,Leveraged Grower
M&M,+,-,+,Leveraged Grower
M&M,+,-,+,Leveraged Grower
M&M,+,-,+,Leveraged Grower
M&M,-,-,+,Unknown/Transition
M&M,-,-,+,Unknown/Transition
M&M,+,-,+,Leveraged Grower
M&M,+,-,-,Growth/Dividend Payer
M&M,-,-,+,Unknown/Transition
M&M,-,-,+,Unknown/Transition
M&M,?,?,?,Unknown/Transition
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,+,-,-,Growth/Dividend Payer
MARUTI,?,?,?,Unknown/Transition
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,+,Leveraged Grower
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,+,Leveraged Grower
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,-,Growth/Dividend Payer
MOTHERSON,+,-,+,Leveraged Grower
MOTHERSON,?,?,?,Unknown/Transition
NAUKRI,+,-,-,Growth/Dividend Payer
NAUKRI,+,-,+,Leveraged Grower
NAUKRI,+,-,+,Leveraged Grower
NAUKRI,+,-,-,Growth/Dividend Payer
NAUKRI,+,-,-,Growth/Dividend Payer
NAUKRI,+,-,-,Growth/Dividend Payer
NAUKRI,+,-,-,Growth/Dividend Payer
NAUKRI,+,+,-,Cash Accumulator/Asset Liquidation
NAUKRI,+,-,+,Leveraged Grower
NAUKRI,+,-,+,Leveraged Grower
NAUKRI,+,-,+,Leveraged Grower
NAUKRI,+,-,+,Leveraged Grower
NAUKRI,?,?,?,Unknown/Transition
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,+,-,Cash Accumulator/Asset Liquidation
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,+,-,-,Growth/Dividend Payer
NESTLEIND,?,?,?,Unknown/Transition
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,+,Leveraged Grower
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,+,-,-,Growth/Dividend Payer
NHPC,?,?,?,Unknown/Transition
NTPC,+,-,+,Leveraged Grower
NTPC,+,-,-,Growth/Dividend Payer
NTPC,+,-,-,Growth/Dividend Payer
NTPC,+,-,-,Growth/Dividend Payer
NTPC,+,-,+,Leveraged Grower
NTPC,+,-,+,Leveraged Grower
NTPC,+,-,+,Leveraged Grower
NTPC,+,-,+,Leveraged Grower
NTPC,+,-,-,Growth/Dividend Payer
NTPC,+,-,-,Growth/Dividend Payer
NTPC,+,-,-,Growth/Dividend Payer
NTPC,+,-,-,Growth/Dividend Payer
NTPC,?,?,?,Unknown/Transition
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,+,Leveraged Grower
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,+,Leveraged Grower
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,-,Growth/Dividend Payer
ONGC,+,-,-,Growth/Dividend Payer
ONGC,?,?,?,Unknown/Transition
PFC,-,+,+,Unknown/Transition
PFC,-,+,+,Unknown/Transition
PFC,-,-,+,Unknown/Transition
PFC,-,-,+,Unknown/Transition
PFC,+,-,+,Leveraged Grower
PFC,-,+,+,Unknown/Transition
PFC,-,-,+,Unknown/Transition
PFC,-,-,+,Unknown/Transition
PFC,-,+,+,Unknown/Transition
PFC,+,-,-,Growth/Dividend Payer
PFC,-,-,+,Unknown/Transition
PFC,-,-,+,Unknown/Transition
PFC,?,?,?,Unknown/Transition
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,-,+,Leveraged Grower
PIDILITIND,+,+,-,Cash Accumulator/Asset Liquidation
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,+,-,Cash Accumulator/Asset Liquidation
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,+,-,-,Growth/Dividend Payer
PIDILITIND,?,?,?,Unknown/Transition
PNB,-,-,-,Distressed/Funding Dependent
PNB,+,-,+,Leveraged Grower
PNB,+,-,+,Leveraged Grower
PNB,+,-,+,Leveraged Grower
PNB,+,+,-,Cash Accumulator/Asset Liquidation
PNB,-,+,+,Unknown/Transition
PNB,-,-,+,Unknown/Transition
PNB,-,-,+,Unknown/Transition
PNB,+,-,+,Leveraged Grower
PNB,+,-,+,Leveraged Grower
PNB,+,-,+,Leveraged Grower
PNB,-,-,+,Unknown/Transition
POWERGRID,+,-,+,Leveraged Grower
POWERGRID,+,-,+,Leveraged Grower
POWERGRID,+,-,+,Leveraged Grower
POWERGRID,+,-,+,Leveraged Grower
POWERGRID,+,-,+,Leveraged Grower
POWERGRID,+,-,+,Leveraged Grower
POWERGRID,+,-,-,Growth/Dividend Payer
POWERGRID,+,-,-,Growth/Dividend Payer
POWERGRID,+,-,-,Growth/Dividend Payer
POWERGRID,+,+,-,Cash Accumulator/Asset Liquidation
POWERGRID,+,-,-,Growth/Dividend Payer
POWERGRID,+,-,-,Growth/Dividend Payer
POWERGRID,?,?,?,Unknown/Transition
RECLTD,-,+,+,Unknown/Transition
RECLTD,-,+,+,Unknown/Transition
RECLTD,-,+,+,Unknown/Transition
RECLTD,-,-,+,Unknown/Transition
RECLTD,+,-,-,Growth/Dividend Payer
RECLTD,-,+,+,Unknown/Transition
RECLTD,-,+,+,Unknown/Transition
RECLTD,-,+,+,Unknown/Transition
RECLTD,-,+,+,Unknown/Transition
RECLTD,-,-,+,Unknown/Transition
RECLTD,-,-,+,Unknown/Transition
RECLTD,-,-,+,Unknown/Transition
RECLTD,?,?,?,Unknown/Transition
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,-,Growth/Dividend Payer
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,-,Growth/Dividend Payer
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,-,Growth/Dividend Payer
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,+,Leveraged Grower
RELIANCE,+,-,-,Growth/Dividend Payer
RELIANCE,?,?,?,Unknown/Transition
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,+,Leveraged Grower
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,+,-,-,Growth/Dividend Payer
SBILIFE,?,?,?,Unknown/Transition
SBIN,+,-,-,Growth/Dividend Payer
SBIN,+,-,+,Leveraged Grower
SBIN,+,-,-,Growth/Dividend Payer
SBIN,+,-,+,Leveraged Grower
SBIN,+,-,-,Growth/Dividend Payer
SBIN,-,+,+,Unknown/Transition
SBIN,+,+,+,Unknown/Transition
SBIN,+,-,+,Leveraged Grower
SBIN,+,-,+,Leveraged Grower
SBIN,+,-,-,Growth/Dividend Payer
SBIN,-,-,+,Unknown/Transition
SBIN,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,+,Leveraged Grower
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,+,Leveraged Grower
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,+,-,-,Growth/Dividend Payer
SHREECEM,?,?,?,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,+,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,-,+,+,Unknown/Transition
SHRIRAMFIN,-,-,+,Unknown/Transition
SHRIRAMFIN,?,?,?,Unknown/Transition
SIEMENS,+,+,-,Cash Accumulator/Asset Liquidation
SIEMENS,+,+,-,Cash Accumulator/Asset Liquidation
SIEMENS,+,+,-,Cash Accumulator/Asset Liquidation
SIEMENS,+,+,-,Cash Accumulator/Asset Liquidation
SIEMENS,+,+,-,Cash Accumulator/Asset Liquidation
SIEMENS,+,-,-,Growth/Dividend Payer
SIEMENS,+,-,-,Growth/Dividend Payer
SIEMENS,+,+,-,Cash Accumulator/Asset Liquidation
SIEMENS,+,-,-,Growth/Dividend Payer
SIEMENS,+,-,-,Growth/Dividend Payer
SIEMENS,+,-,-,Growth/Dividend Payer
SIEMENS,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,+,Leveraged Grower
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,+,-,Cash Accumulator/Asset Liquidation
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,+,-,+,Leveraged Grower
SUNPHARMA,+,-,-,Growth/Dividend Payer
SUNPHARMA,?,?,?,Unknown/Transition
TATACONSUM,+,+,+,Unknown/Transition
TATACONSUM,+,-,-,Growth/Dividend Payer
TATACONSUM,+,-,-,Growth/Dividend Payer
TATACONSUM,+,+,-,Cash Accumulator/Asset Liquidation
TATACONSUM,+,+,-,Cash Accumulator/Asset Liquidation
TATACONSUM,+,-,-,Growth/Dividend Payer
TATACONSUM,+,+,-,Cash Accumulator/Asset Liquidation
TATACONSUM,+,-,-,Growth/Dividend Payer
TATACONSUM,+,-,-,Growth/Dividend Payer
TATACONSUM,+,-,-,Growth/Dividend Payer
TATACONSUM,+,-,-,Growth/Dividend Payer
TATACONSUM,+,-,+,Leveraged Grower
TATACONSUM,?,?,?,Unknown/Transition
TATAMOTORS,+,-,-,Growth/Dividend Payer
TATAMOTORS,+,-,-,Growth/Dividend Payer
TATAMOTORS,+,-,+,Leveraged Grower
TATAMOTORS,+,-,-,Growth/Dividend Payer
TATAMOTORS,+,-,+,Leveraged Grower
TATAMOTORS,+,-,+,Leveraged Grower
TATAMOTORS,+,-,+,Leveraged Grower
TATAMOTORS,+,-,+,Leveraged Grower
TATAMOTORS,+,-,+,Leveraged Grower
TATAMOTORS,+,-,-,Growth/Dividend Payer
TATAMOTORS,+,-,-,Growth/Dividend Payer
TATAMOTORS,+,-,-,Growth/Dividend Payer
TATAMOTORS,?,?,?,Unknown/Transition
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,-,+,Leveraged Grower
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,+,-,Cash Accumulator/Asset Liquidation
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,+,-,+,Leveraged Grower
TATAPOWER,+,-,-,Growth/Dividend Payer
TATAPOWER,?,?,?,Unknown/Transition
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,+,Leveraged Grower
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,+,Leveraged Grower
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,+,-,-,Growth/Dividend Payer
TATASTEEL,?,?,?,Unknown/Transition
TCS,+,-,-,Growth/Dividend Payer
TCS,+,-,-,Growth/Dividend Payer
TCS,+,-,-,Growth/Dividend Payer
TCS,+,-,-,Growth/Dividend Payer
TCS,+,-,-,Growth/Dividend Payer
TCS,+,+,-,Cash Accumulator/Asset Liquidation
TCS,+,+,-,Cash Accumulator/Asset Liquidation
TCS,+,+,-,Cash Accumulator/Asset Liquidation
TCS,+,-,-,Growth/Dividend Payer
TCS,+,-,-,Growth/Dividend Payer
TCS,+,+,-,Cash Accumulator/Asset Liquidation
TCS,+,+,-,Cash Accumulator/Asset Liquidation
TCS,?,?,?,Unknown/Transition
TECHM,+,-,+,Leveraged Grower
TECHM,+,+,-,Cash Accumulator/Asset Liquidation
TECHM,+,-,-,Growth/Dividend Payer
TECHM,+,-,-,Growth/Dividend Payer
TECHM,+,-,-,Growth/Dividend Payer
TECHM,+,-,-,Growth/Dividend Payer
TECHM,+,-,-,Growth/Dividend Payer
TECHM,+,+,-,Cash Accumulator/Asset Liquidation
TECHM,+,-,-,Growth/Dividend Payer
TECHM,+,+,-,Cash Accumulator/Asset Liquidation
TECHM,+,-,-,Growth/Dividend Payer
TECHM,+,-,-,Growth/Dividend Payer
TECHM,?,?,?,Unknown/Transition
TITAN,+,-,-,Growth/Dividend Payer
TITAN,-,-,+,Unknown/Transition
TITAN,+,-,-,Growth/Dividend Payer
TITAN,+,-,-,Growth/Dividend Payer
TITAN,+,-,-,Growth/Dividend Payer
TITAN,-,+,-,Unknown/Transition
TITAN,+,-,-,Growth/Dividend Payer
TITAN,-,+,-,Unknown/Transition
TITAN,+,-,-,Growth/Dividend Payer
TITAN,-,+,-,Unknown/Transition
TITAN,+,-,+,Leveraged Grower
TITAN,+,-,-,Growth/Dividend Payer
TITAN,?,?,?,Unknown/Transition
TORNTPHARM,+,-,+,Leveraged Grower
TORNTPHARM,+,-,+,Leveraged Grower
TORNTPHARM,+,-,+,Leveraged Grower
TORNTPHARM,+,-,-,Growth/Dividend Payer
TORNTPHARM,+,-,-,Growth/Dividend Payer
TORNTPHARM,+,-,+,Leveraged Grower
TORNTPHARM,+,-,-,Growth/Dividend Payer
TORNTPHARM,+,+,-,Cash Accumulator/Asset Liquidation
TORNTPHARM,+,-,-,Growth/Dividend Payer
TORNTPHARM,+,-,-,Growth/Dividend Payer
TORNTPHARM,+,-,+,Leveraged Grower
TORNTPHARM,+,-,-,Growth/Dividend Payer
TORNTPHARM,?,?,?,Unknown/Transition
TRENT,+,-,+,Leveraged Grower
TRENT,-,-,-,Distressed/Funding Dependent
TRENT,-,-,+,Unknown/Transition
TRENT,+,-,-,Growth/Dividend Payer
TRENT,+,-,-,Growth/Dividend Payer
TRENT,+,-,-,Growth/Dividend Payer
TRENT,+,-,+,Leveraged Grower
TRENT,+,-,+,Leveraged Grower
TRENT,+,+,-,Cash Accumulator/Asset Liquidation
TRENT,+,+,-,Cash Accumulator/Asset Liquidation
TRENT,+,-,-,Growth/Dividend Payer
TRENT,+,-,-,Growth/Dividend Payer
TRENT,?,?,?,Unknown/Transition
TVSMOTOR,+,-,-,Growth/Dividend Payer
TVSMOTOR,+,-,-,Growth/Dividend Payer
TVSMOTOR,+,-,+,Leveraged Grower
TVSMOTOR,+,-,-,Growth/Dividend Payer
TVSMOTOR,+,-,-,Growth/Dividend Payer
TVSMOTOR,+,-,+,Leveraged Grower
