# Ratio Edge Case Log -- generated 2026-07-07T09:30:17
# Total KPI edge cases logged: 6487
# Total Day-13 ROCE/ROE cross-check anomalies: 2

## KPI edge cases
[ABB | 2012-12] interest_coverage_ratio: debt-free company (interest expense is zero)
[BHEL | 2013-03] eps_cagr_5yr: INSUFFICIENT
[BHEL | 2013-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[BHEL | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[BHEL | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2014-03] pat_cagr_3yr: INSUFFICIENT
[BHEL | 2014-03] pat_cagr_5yr: INSUFFICIENT
[BHEL | 2014-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2014-03] eps_cagr_3yr: INSUFFICIENT
[BHEL | 2014-03] eps_cagr_5yr: INSUFFICIENT
[BHEL | 2014-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[BHEL | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[BHEL | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2015-03] pat_cagr_3yr: INSUFFICIENT
[BHEL | 2015-03] pat_cagr_5yr: INSUFFICIENT
[BHEL | 2015-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2015-03] eps_cagr_3yr: INSUFFICIENT
[BHEL | 2015-03] eps_cagr_5yr: INSUFFICIENT
[BHEL | 2015-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2016-03] interest_coverage_ratio: ICR < 1.5 (value=0.38): at risk of not covering interest
[BHEL | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[BHEL | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2016-03] pat_cagr_3yr: DECLINE_TO_LOSS
[BHEL | 2016-03] pat_cagr_5yr: INSUFFICIENT
[BHEL | 2016-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2016-03] eps_cagr_3yr: DECLINE_TO_LOSS
[BHEL | 2016-03] eps_cagr_5yr: INSUFFICIENT
[BHEL | 2016-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[BHEL | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2017-03] pat_cagr_5yr: INSUFFICIENT
[BHEL | 2017-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2017-03] eps_cagr_5yr: INSUFFICIENT
[BHEL | 2017-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2018-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2018-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2019-03] pat_cagr_3yr: TURNAROUND
[BHEL | 2019-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2019-03] eps_cagr_3yr: TURNAROUND
[BHEL | 2019-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2020-03] interest_coverage_ratio: ICR < 1.5 (value=0.75): at risk of not covering interest
[BHEL | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2020-03] pat_cagr_3yr: DECLINE_TO_LOSS
[BHEL | 2020-03] pat_cagr_5yr: DECLINE_TO_LOSS
[BHEL | 2020-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2020-03] eps_cagr_3yr: DECLINE_TO_LOSS
[BHEL | 2020-03] eps_cagr_5yr: DECLINE_TO_LOSS
[BHEL | 2020-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2021-03] interest_coverage_ratio: ICR < 1.5 (value=-5.69): at risk of not covering interest
[BHEL | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2021-03] pat_cagr_3yr: DECLINE_TO_LOSS
[BHEL | 2021-03] pat_cagr_5yr: BOTH_NEGATIVE
[BHEL | 2021-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2021-03] eps_cagr_3yr: DECLINE_TO_LOSS
[BHEL | 2021-03] eps_cagr_5yr: BOTH_NEGATIVE
[BHEL | 2021-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2022-03] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2022-03] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2023-03] pat_cagr_3yr: TURNAROUND
[BHEL | 2023-03] eps_cagr_3yr: TURNAROUND
[BHEL | 2024-03] pat_cagr_3yr: TURNAROUND
[BHEL | 2024-03] eps_cagr_3yr: TURNAROUND
[BHEL | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[BHEL | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[BHEL | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[BHEL | 2024-09] pat_cagr_3yr: INSUFFICIENT
[BHEL | 2024-09] pat_cagr_5yr: INSUFFICIENT
[BHEL | 2024-09] pat_cagr_10yr: INSUFFICIENT
[BHEL | 2024-09] eps_cagr_3yr: INSUFFICIENT
[BHEL | 2024-09] eps_cagr_5yr: INSUFFICIENT
[BHEL | 2024-09] eps_cagr_10yr: INSUFFICIENT
[BHEL | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[BOSCHLTD | 2012-12] revenue_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2012-12] revenue_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2012-12] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2012-12] pat_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2012-12] pat_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2012-12] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2012-12] eps_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2012-12] eps_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2012-12] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2013-12] interest_coverage_ratio: debt-free company (interest expense is zero)
[BOSCHLTD | 2013-12] revenue_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2013-12] revenue_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2013-12] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2013-12] pat_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2013-12] pat_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2013-12] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2013-12] eps_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2013-12] eps_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2013-12] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2015-03] pat_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2015-03] pat_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2015-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2015-03] eps_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2015-03] eps_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2015-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2016-03] pat_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2016-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2016-03] eps_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2016-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2017-03] pat_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2017-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2017-03] eps_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2017-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2018-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2018-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2019-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2019-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2020-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2020-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2021-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2021-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2022-03] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2022-03] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2024-09] pat_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2024-09] pat_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2024-09] pat_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2024-09] eps_cagr_3yr: INSUFFICIENT
[BOSCHLTD | 2024-09] eps_cagr_5yr: INSUFFICIENT
[BOSCHLTD | 2024-09] eps_cagr_10yr: INSUFFICIENT
[BOSCHLTD | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[BPCL | 2013-03] revenue_cagr_3yr: INSUFFICIENT
[BPCL | 2013-03] revenue_cagr_5yr: INSUFFICIENT
[BPCL | 2013-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2013-03] pat_cagr_3yr: INSUFFICIENT
[BPCL | 2013-03] pat_cagr_5yr: INSUFFICIENT
[BPCL | 2013-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2013-03] eps_cagr_3yr: INSUFFICIENT
[BPCL | 2013-03] eps_cagr_5yr: INSUFFICIENT
[BPCL | 2013-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[BPCL | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[BPCL | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2014-03] pat_cagr_3yr: INSUFFICIENT
[BPCL | 2014-03] pat_cagr_5yr: INSUFFICIENT
[BPCL | 2014-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2014-03] eps_cagr_3yr: INSUFFICIENT
[BPCL | 2014-03] eps_cagr_5yr: INSUFFICIENT
[BPCL | 2014-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[BPCL | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[BPCL | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2015-03] pat_cagr_3yr: INSUFFICIENT
[BPCL | 2015-03] pat_cagr_5yr: INSUFFICIENT
[BPCL | 2015-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2015-03] eps_cagr_3yr: INSUFFICIENT
[BPCL | 2015-03] eps_cagr_5yr: INSUFFICIENT
[BPCL | 2015-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[BPCL | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2016-03] pat_cagr_5yr: INSUFFICIENT
[BPCL | 2016-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2016-03] eps_cagr_5yr: INSUFFICIENT
[BPCL | 2016-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[BPCL | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2017-03] pat_cagr_5yr: INSUFFICIENT
[BPCL | 2017-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2017-03] eps_cagr_5yr: INSUFFICIENT
[BPCL | 2017-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2018-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2018-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2019-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2019-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2020-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2020-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2021-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2021-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2022-03] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2022-03] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[BPCL | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[BPCL | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[BPCL | 2024-09] pat_cagr_3yr: INSUFFICIENT
[BPCL | 2024-09] pat_cagr_5yr: INSUFFICIENT
[BPCL | 2024-09] pat_cagr_10yr: INSUFFICIENT
[BPCL | 2024-09] eps_cagr_3yr: INSUFFICIENT
[BPCL | 2024-09] eps_cagr_5yr: INSUFFICIENT
[BPCL | 2024-09] eps_cagr_10yr: INSUFFICIENT
[BPCL | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[BRITANNIA | 2013-03] revenue_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2013-03] revenue_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2013-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2013-03] pat_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2013-03] pat_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2013-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2013-03] eps_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2013-03] eps_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2013-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2014-03] pat_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2014-03] pat_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2014-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2014-03] eps_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2014-03] eps_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2014-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2015-03] pat_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2015-03] pat_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2015-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2015-03] eps_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2015-03] eps_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2015-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2016-03] pat_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2016-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2016-03] eps_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2016-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2017-03] pat_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2017-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2017-03] eps_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2017-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2018-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2018-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2019-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2019-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2020-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2020-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2021-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2021-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2022-03] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2022-03] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2024-09] pat_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2024-09] pat_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2024-09] pat_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2024-09] eps_cagr_3yr: INSUFFICIENT
[BRITANNIA | 2024-09] eps_cagr_5yr: INSUFFICIENT
[BRITANNIA | 2024-09] eps_cagr_10yr: INSUFFICIENT
[BRITANNIA | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[CANBK | 2013-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=21.182858820076316, source=655.0
[CANBK | 2013-03] revenue_cagr_3yr: INSUFFICIENT
[CANBK | 2013-03] revenue_cagr_5yr: INSUFFICIENT
[CANBK | 2013-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2013-03] pat_cagr_3yr: INSUFFICIENT
[CANBK | 2013-03] pat_cagr_5yr: INSUFFICIENT
[CANBK | 2013-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2013-03] eps_cagr_3yr: INSUFFICIENT
[CANBK | 2013-03] eps_cagr_5yr: INSUFFICIENT
[CANBK | 2013-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2014-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=24.351781652767247, source=-672.0
[CANBK | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[CANBK | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[CANBK | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2014-03] pat_cagr_3yr: INSUFFICIENT
[CANBK | 2014-03] pat_cagr_5yr: INSUFFICIENT
[CANBK | 2014-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2014-03] eps_cagr_3yr: INSUFFICIENT
[CANBK | 2014-03] eps_cagr_5yr: INSUFFICIENT
[CANBK | 2014-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2015-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=23.513569032022456, source=-621.0
[CANBK | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[CANBK | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[CANBK | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2015-03] pat_cagr_3yr: INSUFFICIENT
[CANBK | 2015-03] pat_cagr_5yr: INSUFFICIENT
[CANBK | 2015-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2015-03] eps_cagr_3yr: INSUFFICIENT
[CANBK | 2015-03] eps_cagr_5yr: INSUFFICIENT
[CANBK | 2015-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2016-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=40.38465905220373, source=-8008.0
[CANBK | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[CANBK | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2016-03] pat_cagr_3yr: DECLINE_TO_LOSS
[CANBK | 2016-03] pat_cagr_5yr: INSUFFICIENT
[CANBK | 2016-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2016-03] eps_cagr_3yr: DECLINE_TO_LOSS
[CANBK | 2016-03] eps_cagr_5yr: INSUFFICIENT
[CANBK | 2016-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2017-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=37.84885544057698, source=-5775.0
[CANBK | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[CANBK | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2017-03] pat_cagr_5yr: INSUFFICIENT
[CANBK | 2017-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2017-03] eps_cagr_5yr: INSUFFICIENT
[CANBK | 2017-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2018-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=61.874470915467406, source=-13350.0
[CANBK | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2018-03] pat_cagr_3yr: DECLINE_TO_LOSS
[CANBK | 2018-03] pat_cagr_5yr: DECLINE_TO_LOSS
[CANBK | 2018-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2018-03] eps_cagr_3yr: DECLINE_TO_LOSS
[CANBK | 2018-03] eps_cagr_5yr: DECLINE_TO_LOSS
[CANBK | 2018-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2019-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=56.72874392609122, source=-11590.0
[CANBK | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2019-03] pat_cagr_3yr: TURNAROUND
[CANBK | 2019-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2019-03] eps_cagr_3yr: TURNAROUND
[CANBK | 2019-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2020-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=53.87769046805603, source=-12867.0
[CANBK | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2020-03] pat_cagr_3yr: DECLINE_TO_LOSS
[CANBK | 2020-03] pat_cagr_5yr: DECLINE_TO_LOSS
[CANBK | 2020-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2020-03] eps_cagr_3yr: DECLINE_TO_LOSS
[CANBK | 2020-03] eps_cagr_5yr: DECLINE_TO_LOSS
[CANBK | 2020-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2021-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=61.82938806883692, source=-18367.0
[CANBK | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2021-03] pat_cagr_3yr: TURNAROUND
[CANBK | 2021-03] pat_cagr_5yr: TURNAROUND
[CANBK | 2021-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2021-03] eps_cagr_3yr: TURNAROUND
[CANBK | 2021-03] eps_cagr_5yr: TURNAROUND
[CANBK | 2021-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2022-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=58.39493584841533, source=-13657.0
[CANBK | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[CANBK | 2022-03] pat_cagr_10yr: INSUFFICIENT
[CANBK | 2022-03] eps_cagr_10yr: INSUFFICIENT
[CANBK | 2023-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=49.80147872154625, source=-9877.0
[CANBK | 2023-03] pat_cagr_3yr: TURNAROUND
[CANBK | 2023-03] pat_cagr_5yr: TURNAROUND
[CANBK | 2023-03] eps_cagr_3yr: TURNAROUND
[CANBK | 2023-03] eps_cagr_5yr: TURNAROUND
[CANBK | 2024-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=41.753906568101414, source=-7745.0
[CHOLAFIN | 2013-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=26.770428015564203, source=472.0
[CHOLAFIN | 2013-03] revenue_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2013-03] revenue_cagr_5yr: INSUFFICIENT
[CHOLAFIN | 2013-03] revenue_cagr_10yr: INSUFFICIENT
[CHOLAFIN | 2013-03] pat_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2013-03] pat_cagr_5yr: INSUFFICIENT
[CHOLAFIN | 2013-03] pat_cagr_10yr: INSUFFICIENT
[CHOLAFIN | 2013-03] eps_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2013-03] eps_cagr_5yr: INSUFFICIENT
[CHOLAFIN | 2013-03] eps_cagr_10yr: INSUFFICIENT
[CHOLAFIN | 2014-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=28.42329978652028, source=578.0
[CHOLAFIN | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[CHOLAFIN | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[CHOLAFIN | 2014-03] pat_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2014-03] pat_cagr_5yr: INSUFFICIENT
[CHOLAFIN | 2014-03] pat_cagr_10yr: INSUFFICIENT
[CHOLAFIN | 2014-03] eps_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2014-03] eps_cagr_5yr: INSUFFICIENT
[CHOLAFIN | 2014-03] eps_cagr_10yr: INSUFFICIENT
[CHOLAFIN | 2015-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=28.559892328398384, source=696.0
[CHOLAFIN | 2015-03] interest_coverage_ratio: debt-free company (interest expense is zero)
[CHOLAFIN | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[CHOLAFIN | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[CHOLAFIN | 2015-03] pat_cagr_3yr: INSUFFICIENT
[CHOLAFIN | 2015-03] pat_cagr_5yr: INSUFFICIENT
